,precision,recall,f1-score
dyed-lifted-polyps,0.7272727272727273,0.64,0.6808510638297872
dyed-resection-margins,0.6727272727272727,0.74,0.7047619047619048
esophagitis,0.6842105263157895,0.65,0.6666666666666667
normal-cecum,0.72,0.9,0.7999999999999999
normal-pylorus,0.7837837837837838,0.87,0.8246445497630331
normal-z-line,0.6020408163265306,0.59,0.5959595959595959
polyps,0.625,0.7,0.6603773584905661
ulcerative-colitis,0.7704918032786885,0.47,0.5838509316770186
accuracy,0.695,0.695,0.695
macro avg,0.698190866213099,0.695,0.6896390088935715
weighted avg,0.6981908662130991,0.695,0.6896390088935717
